"Customer was redirected to Mollie iDEAL","Customer was redirected to Mollie iDEAL"
"Invoice #%s created","Invoice #%s created"
"You will be redirected to your bank in a few seconds.","You will be redirected to your bank in a few seconds."
"Pending Mollie","Pending Mollie"
"Bank: %s","Bank: %s"
